,ticker,data,abertura,maximo,minimo,medio,fechamento,volume
1888,GOAU4,2024-01-16,9.69091702,9.70062736,9.4287379,9.52584128,9.47728959,115677979.0
1889,GOAU4,2024-01-17,9.43844823,9.52584128,9.3510552,9.40931723,9.37047587,95175763.0
1890,GOAU4,2024-01-18,9.46757926,9.54526195,9.3510552,9.43844823,9.41902756,101503874.0
1891,GOAU4,2024-01-19,9.46757926,9.54526195,9.41902756,9.47728959,9.47728959,54919644.0
1892,GOAU4,2024-01-22,9.44815858,9.54526195,9.38018621,9.45786892,9.4287379,72310319.0
1893,GOAU4,2024-01-23,9.48699993,9.62294466,9.47728959,9.55497229,9.57439297,49906989.0
1894,GOAU4,2024-01-24,9.63265499,9.83657209,9.63265499,9.73946871,9.74917905,77519891.0
1895,GOAU4,2024-01-25,9.77831006,9.7880204,9.61323432,9.69091702,9.72975837,80109627.0
1896,GOAU4,2024-01-26,9.73946871,9.84628242,9.73946871,9.79773073,9.7880204,37016384.0
1897,GOAU4,2024-01-29,9.79773073,9.82686175,9.66178601,9.71033769,9.69091702,71947322.0
1898,GOAU4,2024-01-30,9.68120669,9.73946871,9.56468263,9.65207566,9.67149635,80263800.0
1899,GOAU4,2024-01-31,9.64236533,9.84628242,9.61323432,9.72975837,9.62294466,116110672.0
1900,GOAU4,2024-02-01,9.64236533,9.70062736,9.54526195,9.59381365,9.56468263,61674582.0
1901,GOAU4,2024-02-02,9.70062736,9.86570309,9.67149635,9.73946871,9.71033769,97968973.0
1902,GOAU4,2024-02-05,9.71033769,9.77831006,9.59381365,9.68120669,9.69091702,63917756.0
1903,GOAU4,2024-02-06,9.71033769,9.95309614,9.70062736,9.86570309,9.91425479,100059694.0
1904,GOAU4,2024-02-07,9.95309614,9.96280648,9.85599276,9.91425479,9.92396512,41691465.0
1905,GOAU4,2024-02-08,9.93367546,10.03077884,9.73946871,9.80744108,9.73946871,56370481.0
1906,GOAU4,2024-02-09,9.72975837,9.82686175,9.5841033,9.66178601,9.59381365,73309223.0
1907,GOAU4,2024-02-14,9.59381365,9.61323432,9.44815858,9.5064206,9.5064206,60063826.0
1908,GOAU4,2024-02-15,9.57439297,9.61323432,9.46757926,9.51613094,9.5064206,71533556.0
1909,GOAU4,2024-02-16,9.57439297,9.75888938,9.53555162,9.66178601,9.70062736,55863401.0
1910,GOAU4,2024-02-19,9.72004803,9.72975837,9.61323432,9.67149635,9.69091702,34366027.0
1911,GOAU4,2024-02-20,9.62294466,9.7880204,9.61323432,9.71033769,9.75888938,52225275.0
1912,GOAU4,2024-02-21,9.61323432,9.95309614,9.48699993,9.79773073,9.80744108,144799197.0
1913,GOAU4,2024-02-22,9.83657209,9.91425479,9.74917905,9.82686175,9.84628242,69103255.0
1914,GOAU4,2024-02-23,9.84628242,9.90454445,9.70062736,9.76859972,9.73946871,57246369.0
1915,GOAU4,2024-02-26,9.72004803,9.75888938,9.62294466,9.67149635,9.68120669,56597717.0
1916,GOAU4,2024-02-27,9.72004803,9.88512377,9.72004803,9.80744108,9.88512377,64056848.0
1917,GOAU4,2024-02-28,9.84628242,9.92396512,9.72975837,9.79773073,9.80744108,42118793.0
1918,GOAU4,2024-02-29,9.76859972,9.82686175,9.72975837,9.77831006,9.81715141,46950712.0
1919,GOAU4,2024-03-01,9.83657209,10.0987512,9.81715141,10.03077884,10.05990985,125674665.0
1920,GOAU4,2024-03-04,10.08013027,10.16795329,9.91424236,9.98254914,9.95327481,56084330.0
1921,GOAU4,2024-03-05,9.94351669,9.96303292,9.80690312,9.86545179,9.81666123,45091720.0
1922,GOAU4,2024-03-06,9.86545179,9.88496802,9.60198275,9.709322,9.61174087,129991449.0
1923,GOAU4,2024-03-07,9.66053143,9.67028955,9.53367597,9.57270842,9.5629503,86727635.0
1924,GOAU4,2024-03-08,9.54343408,9.58246653,9.49464352,9.54343408,9.5629503,52903670.0
1925,GOAU4,2024-03-11,9.51415975,9.67028955,9.4848854,9.59222465,9.60198275,58164369.0
1926,GOAU4,2024-03-12,9.66053143,9.7873869,9.6312571,9.68980577,9.67028955,53012194.0
1927,GOAU4,2024-03-13,9.68980577,9.90448424,9.62149898,9.77762878,9.79714501,111986269.0
